Timestamp;Pwh_prod;Qs;Qp;T_p_in;T_p_out;T_s_in;T_s_out;ESP_freq;ESP_Pin;ESP_Pout;ESP_Head;Sep_Pin;Sep_Pout;FilterA_Pin;FilterA_Pout;FilterA_PDrop;HEX_Pin;HEX_Pout;HEX_PDrop;FilterB_Pin;FilterB_Pout;FilterB_PDrop;InjectorPump_Pin;InjectorPump_Pout;InjectorPump_PowerDraw;ESP_PowerDraw;Thermal_PowerGen;esp_status;hex_status;filterA_status;filterB_status
2024-06-07 05:15:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 05:30:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 05:45:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 06:00:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 06:15:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 06:30:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 06:45:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 07:00:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 07:15:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 07:30:00;10.0;160.0;149.191;80;20.309;20.0;75.659;60.0;59.491;83.179;23.688;9.618;9.469;9.469;9.453;0.016;9.453;9.303;0.149;9.303;9.287;0.016;9.287;51.49;218619.888;146383.375;10909090.277;Normal;Normal;Normal;Normal
2024-06-07 07:45:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 08:00:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 08:15:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 08:30:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 08:45:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 09:00:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 09:15:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 09:30:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 09:45:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
2024-06-07 10:00:00;9.963;160.0;149.257;80;20.307;20.0;75.685;60.0;59.464;83.151;23.686;9.581;9.432;9.432;9.416;0.016;9.416;9.266;0.149;9.266;9.25;0.016;9.25;51.551;219222.586;146408.177;10914215.333;Normal;Normal;Normal;Normal
